title,bibtex,year,wearability,presentation_mode,deployment_context,form_factor,target_body_area,stimulation_scope,stimulus_type,actuator_type,audio-tactile_mapping,purpose,audio_device,accessibility_focus,connectivity,application_domain
Auditory-tactile music perception,merchel2013auditory,2013,no,recorded,personal_use,chair,vertical_whole_body,multiple,vibration,electrodynamic_shaker,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
Customizing and Evaluating Accessible Multisensory Music Experiences with Pre-Verbal Children—A Case Study on the Perception of Musical Haptics Using Participatory Design with Proxies,frid2022customizing,2022,no,interactive,installation,floor,vertical_whole_body,single,vibration,contact_speaker,direct_translation,therapeutic,loudspeakers,DHH,wired,clinical
Haptic Music Players for Children with Profound and Multiple Learning Disabilities (PMLD)- Exploring Different Modes of Interaction for Felt Sound,frid2022haptic,2022,no,recorded,personal_use,ad_hoc_form_factor,whole_body,single,vibration,contact_speaker,direct_translation,therapeutic,loudspeakers,DHH,standalone,clinical
Deaf people feeling music rhythm by using a sensing and actuating device,florian2017deaf,2017,yes,live,personal_use,band,hand,single,vibration,ERMs,direct_translation,sensory_substitution,none,DHH,wireless,real_world
Exploring the Diversity of Music Experiences for Deaf and Hard of Hearing Individuals,zhou2025exploring,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,theoretical_paper
Design and Evaluation of a Multisensory Concert for Cochlear Implant Users,paisa2023design,2023,no,live,performance,bench and footrest,vertical_whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Designing Tactile Musical Devices with and for Deaf Users: a Case Study,jack2015designing,2015,no,recorded,installation,chair/sofa/armchair,whole_body,multiple,vibration,combination (shaker and subwoofer),direct_translation,sensory_substitution,none,DHH,wired,real_world
Vibrotactile captioning of musical effects in audio-visual media as an alternative for deaf and hard of hearing people: An EEG study,lucia2020vibrotactile,2020,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,direct_translation,sensory_substitution,loudspeakers,DHH,wired,cinema
Multisensory integration design in music for cochlear implant users,cavdir2022multisensory,2022,no,live,performance,bench and footrest,vertical_whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Development of embodied listening studies with multimodal and wearable haptic interfaces for hearing accessibility in music,cavdir2024development,2024,yes,live,performance,ad_hoc_form_factor,whole_body,multiple,vibration,combination (subwoofer and voice-coil),direct_translation,sensory_substitution,loudspeakers,DHH,wireless,real_world
Auditory and vibrotactile interactions in perception of timbre acoustic features,chauvette2025auditory,2025,yes,recorded,personal_use,glove,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
A comparison of audio-to-tactile conversion algorithms for melody recognition,paisa2022comparison,2022,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,contact_speaker,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
Vibrotactile Memory: A Case Study of Timbre Perception Training in Children with Cochlear Implants Using a Video Game,ganis2024vibrotactile,2024,no,recorded,personal_use,Handheld device: PS5 controller,hand,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Enhanced Tactile Identification of Musical Emotion in the Deaf,sharp2020enhanced,2020,yes,recorded,personal_use,glove,hand,single,vibration,voice_coil,direct_translation,sensory_substitution,headphones,DHH,wired,perceptual_study
Toward More Inclusive Music Experience: Understanding Deaf and Hard-of-hearing Individuals’ Everyday Music Activities,yi2025toward,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,theoretical_paper
Effect of vibrotactile stimulation on auditory timbre perception for normal-hearing listeners and cochlear-implant users,verma2023effect,2023,no,recorded,personal_use,Handheld device,fingertip,single,vibration,voice_coil,direct_translation,sensory_substitution,headphones,DHH,wired,perceptual_study
Haptic Symphony: Enabling Deaf and Hard of Hearing Individuals to Experience Music Through Haptic Devices and XR Technology,hewitt2025haptic,2025,yes,live,performance,vest,torso,single,vibration,ERMs,ad-hoc_composition,sensory_substitution,headphones,DHH,standalone,VR
"Modelling perceptual elements of music in a vibrotactile display for deaf users- A field study,",karam2009modelling,2009,no,recorded,installation,chair,back,multiple,vibration,voice_coil,direct_translation,sensory_substitution,none,DHH,wired,real_world
New haptic systems for elicit emotions in audio-visual events for hearing impaired people,alvaro2024new,2024,no,recorded,personal_use,glove,hand,single,vibration,ERMs,ad-hoc_composition,sensory_substitution,loudspeakers,DHH,wired,cinema
MuSS-bits: sensor-display blocks for deaf people to explore musical sounds,petry2016muss,2016,both,live,personal_use,bracelet and other,wrist,single,vibration,ERMs,direct_translation,sensory_substitution,either,DHH,standalone,real_world
Feel the music!—audience experiences of audio–tactile feedback in a novel virtual reality volumetric music video,young2023feel,2023,both,recorded,performance,glove and ad_hoc_format,"hand, chest ",multiple,vibration,combination (LRAs and loudspeaker),direct_translation,music_enrichment,headphones,no,wired,VR
Scaffolding the music listening and music making experience for the deaf,petry2017scaffolding,2017,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,real_world
SENSE: Sensory component VR application for hearing impaired people to enhance the music experience,enriquez2020sense,2020,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,direct_translation,sensory_substitution,headphones,DHH,wireless,VR
Sensory Substitution in Music: Enhancing Deaf Perception Through Vibrotactile Feedback,jadan2024sensory,2024,yes,recorded,personal_use,wristband,wrist,single,vibration,voice_coil,direct_translation,sensory_substitution,none,DHH,wired,real_world
"Some, but not all, cochlear implant users prefer music stimuli with congruent haptic stimulation",aker2024some,2024,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,sensory_substitution,headphones,DHH,wired,real_world
Supporting rhythm activities of deaf children using music-sensory-substitution systems,petry2018supporting,2018,both,live,personal_use,bracelet and other,wrist,single,vibration,ERMs,direct_translation,sensory_substitution,either,DHH,standalone,real_world
The Effect of Vibrotactile Stimuli via the SOMATRON™ on the Identification of Pitch Change by Hearing Impaired Children,darrow1992effect,1992,no,recorded,personal_use,mattress,whole_body,multiple,vibration,subwoofer,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Towards inclusive streaming: Building multimodal music experiences for the deaf and hard of hearing,mchugh2021towards,2021,no,recorded,performance,smartphone,hand,single,vibration,ERMs,direct_translation,sensory_substitution,either,DHH,wireless,real_world
Vibrotactile Sleeve to Improve Music Enjoyment of Cochlear Implant Users,yeganeh2022vibrotactile,2022,yes,recorded,personal_use,sleeve,forearm,single,vibration,voice_coil,direct_translation,sensory_substitution,none,DHH,wired,perceptual_study
How does it feel like? An exploratory study of a prototype system to convey emotion through haptic wearable devices,mazzoni2015does,2015,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wired,perceptual_study
Providing 3d guidance and improving the music-listening experience in virtual reality shooting games using musical vibrotactile feedback,yamazaki2023providing,2023,yes,recorded,personal_use,necklace,"chest, neck",multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wireless,VR
"Music, Art Installations and Haptic Technology",kontogeorgakopoulos2023music,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,theoretical_paper
Recent Developments in Haptic Devices Designed for Hearing-Impaired People- A Literature Review,flores2023recent,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,review_paper
Designing Access in Sound Art Exhibitions: Centering Deaf Experiences in Musical Thinking,may2023designing,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,theoretical_paper
Feel What You Don't Hear: A New Framework for Non-Aural Music Experiences,uyama2023feel,2023,both,recorded,personal_use,ad_hoc_form_factor,"hands, chest",multiple,vibration,voice_coil,NA,performer_understanding,headphones,no,wired,real_world
Haptic stimulation with high fidelity vibro-kinetic technology psychophysiologically enhances seated active music listening experience,giroux2019haptic,2019,no,recorded,personal_use,chair,whole_body,multiple,"displacement, vibration",combination (voice_coil and servo_motor),direct_translation,music_enrichment,none,no,wired,perceptual_study
Stroking stimuli to ear emotionally affect musical and non-musical sounds in a different way,goto2024stroking,2024,no,recorded,personal_use,ad_hoc_form_factor,ear,single,displacement,servo_motor,ad-hoc_composition,music_enrichment,bone_conduction_headphones,no,wired,real_world
Relaxation Effects of Auricular Vibration Stimuli Synchronized with Music,goto2024relaxation,2024,no,recorded,personal_use,ad_hoc_form_factor,ear,single,vibration,servo_motor,ad-hoc_composition,music_enrichment,bone_conduction_headphones,no,wired,real_world
Caressed by music: Related preferences for velocity of touch and tempo of music?,sailer2023caressed,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,perceptual_study
Feel what you hear: haptic feedback as an accompaniment to mobile music playback,baillie2011feel,2011,no,recorded,personal_use,smartphone,hand,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,standalone,real_world
Consonance perception of vibrotactile chords: a feasibility study,yoo2011consonance,2011,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
Feeling the Next Track: Designing Mobile Music Player Previews,beattie2011feeling,2011,no,recorded,personal_use,smartphone,hand,single,vibration,ERMs,ad-hoc_composition,other,loudspeakers,no,standalone,real_world
Improved haptic music player with auditory saliency estimation,hwang2014improved,2014,no,recorded,personal_use,smartphone / handheld mockup,hand,single,vibration,DMA,direct_translation,music_enrichment,headphones,no,wired,real_world
The TOTEM project: Recent developments on a device that transforms live music into vibration,pate2025totem,2025,no,live,performance,ad_hoc_form_factor,hand,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wireless,real_world
Development and Testing of an Immersive 4D Car Audio System based on Electrodynamic Shakers,montrasio2025development,2025,no,recorded,personal_use,chair,back,single,vibration,electrodynamic_shaker,direct_translation,music_enrichment,loudspeakers,no,wired,automotive
Electro-Somaesthetic Music: Spatial Approaches,crawshaw2021electro,2021,NA,NA,NA,NA,NA,NA,vibration,NA,NA,NA,NA,no,NA,theoretical_paper
Using Vibrotactile Device in Music Therapy to Support Wellbeing for People with Alzheimer’s Disease,fang2021using,2021,yes,recorded,personal_use,band,"wrist, ankle, fingertip",multiple,vibration,ERMs,direct_translation,therapeutic,loudspeakers,DHH,wired,clinical
An audio-tactile artinstallation for hearing impaired people,sierra2021audio,2021,no,recorded,installation,mattress,whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Crystal Vibes feat. Ott: A psychedelic musical virtual reality experience utilising the full-body vibrotactile haptic synesthesia suit,outram2017crystal,2017,yes,recorded,personal_use,suit,whole_body,multiple,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,VR
A Testing Environment to Support the Design of Innovative Car Audio Systems Based on Electrodynamic Shakers,la2024testing,2024,no,recorded,personal_use,chair,back,single,vibration,electrodynamic_shaker,direct_translation,music_enrichment,loudspeakers,no,wired,automotive
Towards a Networking Architecture for the Musical Metaverse: The MUSMET Vision,turchet2025towards,2025,yes,live,performance,vest,torso,multiple,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,standalone,VR
Cross-modal frequency matching: Sound and whole-body vibration,altinsoy2010cross,2010,no,recorded,personal_use,chair,whole_body,multiple,vibration,electrodynamic_shaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
